"","x"
"1550",3.297
"1551",3.071
"1552",2.404
"1553",3.94
"1554",3.273
"1555",3.753
"1556",3.49
"1557",3.5495
"1558",3.488
"1559",3.448
"1560",2.768
"1561",3.217
"1562",2.829
"1563",3.3625
"1564",2.721
"1565",2.1835
"1566",3.372
"1567",4.1515
"1568",3.3715
"1569",3.607
"1570",4.0745
"1571",3.449
"1572",3.9385
"1573",3.364
"1574",3.3385
"1575",3.42
"1576",3.6
"1577",3.2235
"1578",4.472
"1579",2.76
"1580",3.6785
"1581",4.176
"1582",3.4285
"1583",2.968
"1584",3.975
"1585",3.3405
"1586",5.1665
"1587",3.2915
"1588",2.56
"1589",4.524
"1590",3.2875
"1591",4.615
"1592",3.258
"1593",5.094
"1594",3.4675
"1595",3.469
"1596",3.9615
"1597",3.4145
"1598",3.1875
"1599",2.491
"1600",3.2475
"1601",3.205
"1602",3.3255
"1603",2.9565
"1604",3.228
"1605",2.8405
"1606",3.198
"1607",3.379
"1608",3.724
"1609",3.5035
"1610",3.5315
"1611",3.563
"1612",3.471
"1613",3.4855
"1614",5.3005
"1615",3.421
"1616",3.2595
"1617",3.496
"1618",3.465
"1619",2.051
"1620",3.2255
"1621",3.2285
"1622",3.4735
"1623",3.42
"1624",3.1665
"1625",3.3275
"1626",3.756
"1627",3.601
"1628",3.4765
"1629",3.5505
"1630",3.444
"1631",3.454
"1632",3.385
"1633",3.407
"1634",3.1575
"1635",3.2995
"1636",2.9325
"1637",3.35
"1638",3.3465
"1639",2.342
"1640",3.4965
"1641",4.4485
"1642",3.464
"1643",3.416
"1644",3.4205
"1645",4.0875
"1646",3.58
"1647",3.8675
"1648",3.006
"1649",3.441
"1650",3.107
"1651",3.456
"1652",3.9435
"1653",3.5375
"1654",3.51
"1655",4.166
"1656",3.4945
"1657",3.401
"1658",3.5875
"1659",3.6575
"1660",3.4855
"1661",3.3475
"1662",3.5815
"1663",3.407
"1664",4.417
"1665",3.626
"1666",3.4705
"1667",3.4805
"1668",3.495
"1669",3.4575
"1670",3.548
"1671",4.197
"1672",3.1975
"1673",3.314
"1674",2.5815
"1675",3.539
"1676",3.342
"1677",3.3615
"1678",3.3685
"1679",4.2875
"1680",4.1425
"1681",3.486
"1682",3.113
"1683",3.5285
"1684",3.9755
"1685",3.3265
"1686",3.717
"1687",4.389
"1688",3.4965
"1689",3.145
"1690",3.018
"1691",3.5655
"1692",4.1655
"1693",3.449
"1694",4.0225
"1695",3.362
"1696",3.6105
"1697",3.2795
"1698",3.624
"1699",3.2725
"1700",3.939
"1701",3.4685
"1702",3.5045
"1703",3.7475
"1704",2.9155
"1705",3.796
"1706",3.4595
"1707",4.1565
"1708",4.071
"1709",3.2865
"1710",3.133
"1711",3.513
"1712",3.685
"1713",3.275
"1714",3.0355
"1715",3.263
"1716",3.428
"1717",3.512
"1718",3.4815
"1719",3.417
"1720",3.3035
"1721",3.4775
"1722",3.673
"1723",4.95
"1724",3.366
"1725",3.241
"1726",3.269
"1727",3.487
"1728",3.6195
"1729",3.446
"1730",3.758
"1731",2.9215
"1732",3.6405
"1733",2.7155
"1734",3.6205
"1735",3.814
"1736",3.425
"1737",3.184
"1738",3.2515
"1739",3.54
"1740",3.662
"1741",3.783
"1742",3.58
"1743",3.3795
"1744",3.792
"1745",3.3925
"1746",2.2965
"1747",3.3735
"1748",3.3695
"1749",3.188
"1750",3.462
"1751",3.125
"1752",3.5195
"1753",3.5005
"1754",2.738
"1755",3.3625
"1756",3.475
"1757",3.3035
"1758",3.5145
"1759",3.884
"1760",3.371
"1761",3.4885
"1762",3.64
